Task ID,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par,Prompt,Answer,Answer_Column_or_Row
1,DS1_anime_bar1.png,49,1,anime,bar,1,Filter,Completed,J,80.0,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J
1,DS2_anime_bar2.png,50,2,anime,bar,2,Filter,Members,I,70.0,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I
1,DS3_anime_bar3.png,51,3,anime,bar,3,Filter,Ranked,G,88.0,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5,G
1,DS4_anime_bar4.png,52,4,anime,bar,4,Filter,Score,K,43.0,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
1,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Filter,Sodium,I,57.0,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I
1,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Filter,Score,H,70.0,"In the 'Score' column, count how many cells exceed the value of '70' ",5,H
1,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Filter,Carbo,J,45.0,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J
1,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Filter,Sodium,K,60.0,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7,K
1,DS9_candy_plain1.png,41,9,candy,plain,1,Filter,Fruity,K,66.0,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K
1,DS10_candy_plain2.png,42,10,candy,plain,2,Filter,Rating,J,38.0,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J
1,DS11_candy_plain3.png,43,11,candy,plain,3,Filter,Pluribus,G,50.0,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G
1,DS12_candy_plain4.png,44,12,candy,plain,4,Filter,Nougat,I,57.0,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I
1,DS13_movie_color1.png,13,13,movie,color,1,Filter,Metacritic,H,70.0,"In the 'Metacritic' column, count how many cells exceed the value of '70' ",5,H
1,DS14_movie_color2.png,14,14,movie,color,2,Filter,Netflix,I,76.0,"In the 'Netflix' column, count how many cells exceed the value of '76' ",8,I
1,DS15_movie_color3.png,15,15,movie,color,3,Filter,Fandango,J,54.0,"In the 'Fandango' column, count how many cells exceed the value of '54' ",7,J
1,DS16_movie_color4.png,16,16,movie,color,4,Filter,Naver,G,57.0,"In the 'Naver' column, count how many cells exceed the value of '57' ",6,G
2,DS1_anime_bar1.png,49,1,anime,bar,1,Correlation,Episodes,C,0.909210283,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
2,DS2_anime_bar2.png,50,2,anime,bar,2,Correlation,Plan to Watch,C,0.942863334,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
2,DS3_anime_bar3.png,51,3,anime,bar,3,Correlation,Completed,C,0.973062733,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
2,DS4_anime_bar4.png,52,4,anime,bar,4,Correlation,Score,C,0.954489514,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
2,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Correlation,Potassium,C,0.918483604,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
2,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Correlation,Calories,C,0.94466458,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
2,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Correlation,Iron,C,0.915948706,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
2,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Correlation,Vitamins,C,0.909418419,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
2,DS9_candy_plain1.png,41,9,candy,plain,1,Correlation,Hard,C,0.952484022,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
2,DS10_candy_plain2.png,42,10,candy,plain,2,Correlation,SugarPercent,C,0.910224308,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
2,DS11_candy_plain3.png,43,11,candy,plain,3,Correlation,Rating,C,0.922893998,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
2,DS12_candy_plain4.png,44,12,candy,plain,4,Correlation,Hard,C,0.95087863,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
2,DS13_movie_color1.png,13,13,movie,color,1,Correlation,Naver,C,0.969706206,Determine which of the last 5 columns is most positively correalated with the first column named 'Naver' ,Roger Ebert,I
2,DS14_movie_color2.png,14,14,movie,color,2,Correlation,MrQE,C,0.932265726,Determine which of the last 5 columns is most positively correalated with the first column named 'MrQE' ,Netflix,L
2,DS15_movie_color3.png,15,15,movie,color,3,Correlation,RottenTomatoes,C,0.916798911,Determine which of the last 5 columns is most positively correalated with the first column named 'RottenTomatoes' ,Netflix,k
2,DS16_movie_color4.png,16,16,movie,color,4,Correlation,IMDB,C,0.972832768,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
3,DS1_anime_bar1.png,49,1,anime,bar,1,Sort,Episodes,L,60 56 53,"In the 'Episodes' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Magical Warfare-Queen Kingdom,13 18 27
3,DS2_anime_bar2.png,50,2,anime,bar,2,Sort,Members,I,88 86 83,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Beating Music-Hungry Heart,5 18 6
3,DS3_anime_bar3.png,51,3,anime,bar,3,Sort,Favorites,J,75 73 71,"In the 'Favorites' column, give the row names of the animes with the highest 3 values in descending order ",King Ranking-Ultimate horror-Queen Kingdom,5 10 11
3,DS4_anime_bar4.png,52,4,anime,bar,4,Sort,Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22
3,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Sort,Vitamins,H,88 86 83,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Corn Favorite-Raisin Bran,5 19 20
3,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Sort,Protein,I,71 70 68,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",Smile Maker-Natural Bran-Fruity Pebbles,22 3 7
3,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Sort,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18
3,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Sort,Sodium,K,75 73 71,"In the 'Sodium' column, give the row names of the cereals with the highest 3 values in descending order ",Wonderful Chex-Bran Chex-Raisin Bran,16 10 19
3,DS9_candy_plain1.png,41,9,candy,plain,1,Sort,SugarPercent,H,98 84 80,"In the 'SugarPercent' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Milk Duds-Berry Chews,30 9 11
3,DS10_candy_plain2.png,42,10,candy,plain,2,Sort,Chocolate,K,75 73 71,"In the 'Chocolate' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Fruit Chews-Now Later,31 8 26
3,DS11_candy_plain3.png,43,11,candy,plain,3,Sort,Almond,L,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Pop Rocks-Pixie Sticks-Junior Mints,27 12 28
3,DS12_candy_plain4.png,44,12,candy,plain,4,Sort,Pluribus,J,98 97 95,"In the 'Pluribus' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Boston Beans-Hersheys Kisses,30 19 16
3,DS13_movie_color1.png,13,13,movie,color,1,Sort,Naver,I,71 70 68,"In the 'Naver' column, give the row names of the movies with the highest 3 values in descending order ",Welcome Home-Saint Laurent-Red Army,21 16 17
3,DS14_movie_color2.png,14,14,movie,color,2,Sort,FilmComment,K,75 73 71,"In the 'FilmComment' column, give the row names of the movies with the highest 3 values in descending order ",About Elly-Love Mercy-Welcome Home,5 21 20
3,DS15_movie_color3.png,15,15,movie,color,3,Sort,PluggedIn,H,98 84 80,"In the 'PluggedIn' column, give the row names of the movies with the highest 3 values in descending order ",Tomorrow land-Black Sea-South Paw,10 9 20
