Task ID,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par,Prompt,Answer,Answer_Column_or_Row
1,DS1_anime_zebra1.png,17,1,anime,zebra,1,Filter,On-Hold,J,80.0,"In the 'On-Hold' column, count how many cells exceed the value of '80' ",7,J
1,DS2_anime_zebra2.png,18,2,anime,zebra,2,Filter,Favorites,I,70.0,"In the 'Favorites' column, count how many cells exceed the value of '70' ",6,I
1,DS3_anime_zebra3.png,19,3,anime,zebra,3,Filter,On-Hold,G,88.0,"In the 'On-Hold' column, count how many cells exceed the value of '88' ",5,G
1,DS4_anime_zebra4.png,20,4,anime,zebra,4,Filter,Score,K,43.0,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
1,DS5_cereal_plain1.png,37,5,cereal,plain,1,Filter,Potassium,I,57.0,"In the 'Potassium' column, count how many cells exceed the value of '57' ",8,I
1,DS6_cereal_plain2.png,38,6,cereal,plain,2,Filter,Carbo,H,70.0,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H
1,DS7_cereal_plain3.png,39,7,cereal,plain,3,Filter,Score,J,45.0,"In the 'Score' column, count how many cells exceed the value of '45' ",6,J
1,DS8_cereal_plain4.png,40,8,cereal,plain,4,Filter,Vitamins,K,60.0,"In the 'Vitamins' column, count how many cells exceed the value of '60' ",7,K
1,DS9_candy_color1.png,9,9,candy,color,1,Filter,Hard,K,66.0,"In the 'Hard' column, count how many cells exceed the value of '66' ",5,K
1,DS10_candy_color2.png,10,10,candy,color,2,Filter,SugarPercent,J,38.0,"In the 'SugarPercent' column, count how many cells exceed the value of '38' ",8,J
1,DS11_candy_color3.png,11,11,candy,color,3,Filter,Caramel,G,50.0,"In the 'Caramel' column, count how many cells exceed the value of '50' ",7,G
1,DS12_candy_color4.png,12,12,candy,color,4,Filter,SugarPercent,I,57.0,"In the 'SugarPercent' column, count how many cells exceed the value of '57' ",6,I
1,DS13_movie_bar1.png,61,13,movie,bar,1,Filter,Fandango,H,70.0,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H
1,DS14_movie_bar2.png,62,14,movie,bar,2,Filter,Hulu,I,76.0,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8,I
1,DS15_movie_bar3.png,63,15,movie,bar,3,Filter,PluggedIn,J,54.0,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7,J
