task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par 1,Prompt,Answer,Answer Column / Row
1,"DS1_anime_color1.png",1,1,anime,color,1,Filter,Watching,J,80,"In the 'WATCHING' column, count how many cells exceed the value of '80' ",7,J
1,"DS2_anime_color2.png",2,2,anime,color,2,Filter,Popularity,I,70,"In the 'POPULARITY' column, count how many cells exceed the value of '70' ",6,I
1,"DS3_anime_color3.png",3,3,anime,color,3,Filter,Watching,G,88,"In the 'WATCHING' column, count how many cells exceed the value of '88' ",5,G
1,"DS4_anime_color4.png",4,4,anime,color,4,Filter,Members,K,43,"In the 'MEMBERS' column, count how many cells exceed the value of '43' ",8,K
1,"DS5_cereal_plain1.png",37,5,cereal,plain,1,Filter,Potassium,I,57,"In the 'POTASSIUM' column, count how many cells exceed the value of '57' ",8,I
1,"DS6_cereal_plain2.png",38,6,cereal,plain,2,Filter,Carbo,H,70,"In the 'CARBO' column, count how many cells exceed the value of '70' ",5,H
1,"DS7_cereal_plain3.png",39,7,cereal,plain,3,Filter,Score,J,45,"In the 'SCORE' column, count how many cells exceed the value of '45' ",6,J
1,"DS8_cereal_plain4.png",40,8,cereal,plain,4,Filter,Vitamins,K,60,"In the 'VITAMINS' column, count how many cells exceed the value of '60' ",7,K
1,"DS9_candy_zebra1.png",25,9,candy,zebra,1,Filter,SugarPercent,K,66,"In the 'SUGARPERCENT' column, count how many cells exceed the value of '66' ",5,K
1,"DS10_candy_zebra2.png",26,10,candy,zebra,2,Filter,Caramel,J,38,"In the 'CARAMEL' column, count how many cells exceed the value of '38' ",8,J
1,"DS11_candy_zebra3.png",27,11,candy,zebra,3,Filter,SugarPercent,G,50,"In the 'SUGARPERCENT' column, count how many cells exceed the value of '50' ",7,G
1,"DS12_candy_zebra4.png",28,12,candy,zebra,4,Filter,Caramel,I,57,"In the 'CARAMEL' column, count how many cells exceed the value of '57' ",6,I
1,"DS13_movie_bar1.png",61,13,movie,bar,1,Filter,Fandango,H,70,"In the 'FANDANGO' column, count how many cells exceed the value of '70' ",5,H
1,"DS14_movie_bar2.png",62,14,movie,bar,2,Filter,Hulu,I,76,"In the 'HULU' column, count how many cells exceed the value of '76' ",8,I
1,"DS15_movie_bar3.png",63,15,movie,bar,3,Filter,PluggedIn,J,54,"In the 'PLUGGEDIN' column, count how many cells exceed the value of '54' ",7,J
1,"DS16_movie_bar4.png",64,16,movie,bar,4,Filter,Netflix,G,57,"In the 'NETFLIX' column, count how many cells exceed the value of '57' ",6,G
2,"DS1_anime_color1.png",1,1,anime,color,1,Correlation,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'EPISODES' ,Completed,I
2,"task2\T2_DS2_anime_color2.png",2,2,anime,color,2,Correlation,Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'PLAN TO WATCH' ,Favorites,L
2,"task2\T2_DS3_anime_color3.png",3,3,anime,color,3,Correlation,Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'COMPLETED' ,Episodes,K
2,"task2\T2_DS4_anime_color4.png",4,4,anime,color,4,Correlation,Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SCORE' ,Dropped,J
2,"task2\T2_DS5_cereal_plain1.png",37,5,cereal,plain,1,Correlation,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'POTASSIUM' ,Sugars,K
2,"task2\T2_DS6_cereal_plain2.png",38,6,cereal,plain,2,Correlation,Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'CALORIES' ,Protein,I
2,"task2\T2_DS7_cereal_plain3.png",39,7,cereal,plain,3,Correlation,Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'IRON' ,Carbo,J
2,"task2\T2_DS8_cereal_plain4.png",40,8,cereal,plain,4,Correlation,Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'VITAMINS' ,Potassium,L
2,"task2\T2_DS9_candy_zebra1.png",25,9,candy,zebra,1,Correlation,Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'HARD' ,Chocolate,L
2,"task2\T2_DS10_candy_zebra2.png",26,10,candy,zebra,2,Correlation,SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SUGARPERCENT' ,Rating,J
