task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par 1,Prompt,Answer,Answer Column / Row
1,"DS1_anime_bar1.png",49,1,anime,bar,1,Filter,Completed,J,80,"In the 'COMPLETED' column, count how many cells exceed the value of '80' ",7,J
1,"DS2_anime_bar2.png",50,2,anime,bar,2,Filter,Members,I,70,"In the 'MEMBERS' column, count how many cells exceed the value of '70' ",6,I
1,"DS3_anime_bar3.png",51,3,anime,bar,3,Filter,Ranked,G,88,"In the 'RANKED' column, count how many cells exceed the value of '88' ",5,G
1,"DS4_anime_bar4.png",52,4,anime,bar,4,Filter,Score,K,43,"In the 'SCORE' column, count how many cells exceed the value of '43' ",8,K
1,"DS5_cereal_zebra1.png",21,5,cereal,zebra,1,Filter,Sodium,I,57,"In the 'SODIUM' column, count how many cells exceed the value of '57' ",8,I
1,"DS6_cereal_zebra2.png",22,6,cereal,zebra,2,Filter,Score,H,70,"In the 'SCORE' column, count how many cells exceed the value of '70' ",5,H
1,"DS7_cereal_zebra3.png",23,7,cereal,zebra,3,Filter,Carbo,J,45,"In the 'CARBO' column, count how many cells exceed the value of '45' ",6,J
1,"DS8_cereal_zebra4.png",24,8,cereal,zebra,4,Filter,Sodium,K,60,"In the 'SODIUM' column, count how many cells exceed the value of '60' ",7,K
1,"DS9_candy_plain1.png",41,9,candy,plain,1,Filter,Fruity,K,66,"In the 'FRUITY' column, count how many cells exceed the value of '66' ",5,K
1,"DS10_candy_plain2.png",42,10,candy,plain,2,Filter,Rating,J,38,"In the 'RATING' column, count how many cells exceed the value of '38' ",8,J
1,"DS11_candy_plain3.png",43,11,candy,plain,3,Filter,Pluribus,G,50,"In the 'PLURIBUS' column, count how many cells exceed the value of '50' ",7,G
1,"DS12_candy_plain4.png",44,12,candy,plain,4,Filter,Nougat,I,57,"In the 'NOUGAT' column, count how many cells exceed the value of '57' ",6,I
1,"DS13_movie_color1.png",13,13,movie,color,1,Filter,Metacritic,H,70,"In the 'METACRITIC' column, count how many cells exceed the value of '70' ",5,H
1,"DS14_movie_color2.png",14,14,movie,color,2,Filter,Netflix,I,76,"In the 'NETFLIX' column, count how many cells exceed the value of '76' ",8,I
1,"DS15_movie_color3.png",15,15,movie,color,3,Filter,Fandango,J,54,"In the 'FANDANGO' column, count how many cells exceed the value of '54' ",7,J
1,"DS16_movie_color4.png",16,16,movie,color,4,Filter,Naver,G,57,"In the 'NAVER' column, count how many cells exceed the value of '57' ",6,G
2,"DS1_anime_bar1.png",49,1,anime,bar,1,Correlation,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'EPISODES' ,Completed,I
2,"task2\T2_DS2_anime_bar2.png",50,2,anime,bar,2,Correlation,Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'PLAN TO WATCH' ,Favorites,L
2,"task2\T2_DS3_anime_bar3.png",51,3,anime,bar,3,Correlation,Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'COMPLETED' ,Episodes,K
2,"task2\T2_DS4_anime_bar4.png",52,4,anime,bar,4,Correlation,Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SCORE' ,Dropped,J
2,"task2\T2_DS5_cereal_zebra1.png",21,5,cereal,zebra,1,Correlation,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'POTASSIUM' ,Sugars,K
2,"task2\T2_DS6_cereal_zebra2.png",22,6,cereal,zebra,2,Correlation,Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'CALORIES' ,Protein,I
2,"task2\T2_DS7_cereal_zebra3.png",23,7,cereal,zebra,3,Correlation,Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'IRON' ,Carbo,J
2,"task2\T2_DS8_cereal_zebra4.png",24,8,cereal,zebra,4,Correlation,Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'VITAMINS' ,Potassium,L
2,"task2\T2_DS9_candy_plain1.png",41,9,candy,plain,1,Correlation,Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'HARD' ,Chocolate,L
2,"task2\T2_DS10_candy_plain2.png",42,10,candy,plain,2,Correlation,SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SUGARPERCENT' ,Rating,J
2,"task2\T2_DS11_candy_plain3.png",43,11,candy,plain,3,Correlation,Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'RATING' ,Chocolate,K
2,"task2\T2_DS12_candy_plain4.png",44,12,candy,plain,4,Correlation,Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'HARD' ,Nougat,I
2,"task2\T2_DS13_movie_color1.png",13,13,movie,color,1,Correlation,Naver,C,0.9922747576934072,Determine which of the last 5 columns is most positively correalated with the first column named 'NAVER' ,Roger Ebert,I
2,"task2\T2_DS14_movie_color2.png",14,14,movie,color,2,Correlation,MrQE,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'MRQE' ,Netflix,L
2,"task2\T2_DS15_movie_color3.png",15,15,movie,color,3,Correlation,RottenTomatoes,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'ROTTENTOMATOES' ,Netflix,k
2,"task2\T2_DS16_movie_color4.png",16,16,movie,color,4,Correlation,IMDB,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'IMDB' ,Fandango,J
3,"task2\T2_DS1_anime_bar1.png",49,1,anime,bar,1,Sort,Episodes,L,60 56 53,"In the 'EPISODES' column, give the row names of the animes with the highest 3 values in descending order ",Dragon Ball-Magical Warfare-Queen Kingdom,13 18 27
3,"DS2_anime_bar2.png",50,2,anime,bar,2,Sort,Members,I,88 86 83,"In the 'MEMBERS' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Beating Music-Hungry Heart,5 18 6
3,"DS3_anime_bar3.png",51,3,anime,bar,3,Sort,Favorites,J,75 73 71,"In the 'FAVORITES' column, give the row names of the animes with the highest 3 values in descending order ",King Ranking-Ultimate horror-Queen Kingdom,5 10 11
3,"DS4_anime_bar4.png",52,4,anime,bar,4,Sort,Score,K,74 73 70,"In the 'SCORE' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22
3,"DS5_cereal_zebra1.png",21,5,cereal,zebra,1,Sort,Vitamins,H,88 86 83,"In the 'VITAMINS' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Corn Favorite-Raisin Bran,5 19 20
3,"DS6_cereal_zebra2.png",22,6,cereal,zebra,2,Sort,Protein,I,71 70 68,"In the 'PROTEIN' column, give the row names of the cereals with the highest 3 values in descending order ",Smile Maker-Natural Bran-Fruity Pebbles,22 3 7
3,"DS7_cereal_zebra3.png",23,7,cereal,zebra,3,Sort,Carbo,J,60 56 53,"In the 'CARBO' column, give the row names of the cereals with the highest 3 values in descending order ",Cinnamon Toast-Cap Crunch-Mini Wheats,7 23 18
3,"DS8_cereal_zebra4.png",24,8,cereal,zebra,4,Sort,Sodium,K,75 73 71,"In the 'SODIUM' column, give the row names of the cereals with the highest 3 values in descending order ",Wonderful Chex-Bran Chex-Raisin Bran,16 10 19
3,"DS9_candy_plain1.png",41,9,candy,plain,1,Sort,SugarPercent,H,98 84 80,"In the 'SUGARPERCENT' column, give the row names of the candys with the highest 3 values in descending order ",Gold Bears-Milk Duds-Berry Chews,30 9 11
3,"DS10_candy_plain2.png",42,10,candy,plain,2,Sort,Chocolate,K,75 73 71,"In the 'CHOCOLATE' column, give the row names of the candys with the highest 3 values in descending order ",Milk Duds-Fruit Chews-Now Later,31 8 26
