task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par 1,Prompt,Answer,Answer Column / Row
1,"DS1_anime_zebra1.png",17,1,anime,zebra,1,Filter,On-Hold,J,80,"In the 'ON-HOLD' column, count how many cells exceed the value of '80' ",7,J
1,"DS2_anime_zebra2.png",18,2,anime,zebra,2,Filter,Favorites,I,70,"In the 'FAVORITES' column, count how many cells exceed the value of '70' ",6,I
1,"DS3_anime_zebra3.png",19,3,anime,zebra,3,Filter,On-Hold,G,88,"In the 'ON-HOLD' column, count how many cells exceed the value of '88' ",5,G
1,"DS4_anime_zebra4.png",20,4,anime,zebra,4,Filter,Score,K,43,"In the 'SCORE' column, count how many cells exceed the value of '43' ",8,K
1,"DS5_cereal_bar1.png",53,5,cereal,bar,1,Filter,Carbo,I,57,"In the 'CARBO' column, count how many cells exceed the value of '57' ",8,I
1,"DS6_cereal_bar2.png",54,6,cereal,bar,2,Filter,Sodium,H,70,"In the 'SODIUM' column, count how many cells exceed the value of '70' ",5,H
1,"DS7_cereal_bar3.png",55,7,cereal,bar,3,Filter,Carbo,J,45,"In the 'CARBO' column, count how many cells exceed the value of '45' ",6,J
1,"DS8_cereal_bar4.png",56,8,cereal,bar,4,Filter,Sugars,K,60,"In the 'SUGARS' column, count how many cells exceed the value of '60' ",7,K
1,"DS9_candy_color1.png",9,9,candy,color,1,Filter,Hard,K,66,"In the 'HARD' column, count how many cells exceed the value of '66' ",5,K
1,"DS10_candy_color2.png",10,10,candy,color,2,Filter,SugarPercent,J,38,"In the 'SUGARPERCENT' column, count how many cells exceed the value of '38' ",8,J
1,"DS11_candy_color3.png",11,11,candy,color,3,Filter,Caramel,G,50,"In the 'CARAMEL' column, count how many cells exceed the value of '50' ",7,G
1,"DS12_candy_color4.png",12,12,candy,color,4,Filter,SugarPercent,I,57,"In the 'SUGARPERCENT' column, count how many cells exceed the value of '57' ",6,I
1,"DS13_movie_plain1.png",45,13,movie,plain,1,Filter,Hulu,H,70,"In the 'HULU' column, count how many cells exceed the value of '70' ",5,H
