Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header1, Column
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
DS1_anime_color1.png,1,1,anime,color,1,Watching,J
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I
DS3_anime_color3.png,3,3,anime,color,3,Watching,G
DS4_anime_color4.png,4,4,anime,color,4,Members,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J
DS11_candy_zebra3.png,27,11,candy,zebra,3,SugarPercent,G
DS12_candy_zebra4.png,28,12,candy,zebra,4,Caramel,I
DS13_movie_bar1.png,61,13,movie,bar,1,Fandango,H
DS14_movie_bar2.png,62,14,movie,bar,2,Hulu,I
DS15_movie_bar3.png,63,15,movie,bar,3,PluggedIn,J
DS16_movie_bar4.png,64,16,movie,bar,4,Netflix,G
