Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
DS1_anime_zebra1.png,17,1,anime,zebra,1,On-Hold,J
DS2_anime_zebra2.png,18,2,anime,zebra,2,Favorites,I
DS3_anime_zebra3.png,19,3,anime,zebra,3,On-Hold,G
DS4_anime_zebra4.png,20,4,anime,zebra,4,Score,K
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K
DS9_candy_bar1.png,57,9,candy,bar,1,Rating,K
DS10_candy_bar2.png,58,10,candy,bar,2,Caramel,J
DS11_candy_bar3.png,59,11,candy,bar,3,SugarPercent,G
DS12_candy_bar4.png,60,12,candy,bar,4,Bar,I
DS13_movie_color1.png,13,13,movie,color,1,Metacritic,H
DS14_movie_color2.png,14,14,movie,color,2,Netflix,I
DS15_movie_color3.png,15,15,movie,color,3,Fandango,J
DS16_movie_color4.png,16,16,movie,color,4,Naver,G
