task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row
1,DS1_anime_bar1.png,49,1,anime,bar,1,Filter,Completed,J,80,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J
1,DS2_anime_bar2.png,50,2,anime,bar,2,Filter,Members,I,70,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I
1,DS3_anime_bar3.png,51,3,anime,bar,3,Filter,Ranked,G,88,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5,G
1,DS4_anime_bar4.png,52,4,anime,bar,4,Filter,Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
1,DS5_cereal_color1.png,5,5,cereal,color,1,Filter,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I
1,DS6_cereal_color2.png,6,6,cereal,color,2,Filter,Carbo,H,70,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H
1,DS7_cereal_color3.png,7,7,cereal,color,3,Filter,Protein,J,45,"In the 'Protein' column, count how many cells exceed the value of '45' ",6,J
1,DS8_cereal_color4.png,8,8,cereal,color,4,Filter,Fat,K,60,"In the 'Fat' column, count how many cells exceed the value of '60' ",7,K
1,DS9_candy_plain1.png,41,9,candy,plain,1,Filter,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K
1,DS10_candy_plain2.png,42,10,candy,plain,2,Filter,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J
1,DS11_candy_plain3.png,43,11,candy,plain,3,Filter,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G
1,DS12_candy_plain4.png,44,12,candy,plain,4,Filter,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I
1,DS13_movie_zebra1.png,29,13,movie,zebra,1,Filter,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H
1,DS14_movie_zebra2.png,30,14,movie,zebra,2,Filter,PluggedIn,I,76,"In the 'PluggedIn' column, count how many cells exceed the value of '76' ",8,I
1,DS15_movie_zebra3.png,31,15,movie,zebra,3,Filter,Hulu,J,54,"In the 'Hulu' column, count how many cells exceed the value of '54' ",7,J
1,DS16_movie_zebra4.png,32,16,movie,zebra,4,Filter,Metacritic,G,57,"In the 'Metacritic' column, count how many cells exceed the value of '57' ",6,G
2,DS1_anime_bar1.png,49,1,anime,bar,1,Correlation,Completed,J,80,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J
2,DS2_anime_bar2.png,50,2,anime,bar,2,Correlation,Members,I,70,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I
2,DS3_anime_bar3.png,51,3,anime,bar,3,Correlation,Ranked,G,88,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5,G
2,DS4_anime_bar4.png,52,4,anime,bar,4,Correlation,Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
2,DS5_cereal_color1.png,5,5,cereal,color,1,Correlation,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I
2,DS6_cereal_color2.png,6,6,cereal,color,2,Correlation,Carbo,H,70,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H
2,DS7_cereal_color3.png,7,7,cereal,color,3,Correlation,Protein,J,45,"In the 'Protein' column, count how many cells exceed the value of '45' ",6,J
2,DS8_cereal_color4.png,8,8,cereal,color,4,Correlation,Fat,K,60,"In the 'Fat' column, count how many cells exceed the value of '60' ",7,K
2,DS9_candy_plain1.png,41,9,candy,plain,1,Correlation,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K
2,DS10_candy_plain2.png,42,10,candy,plain,2,Correlation,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J
2,DS11_candy_plain3.png,43,11,candy,plain,3,Correlation,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G
2,DS12_candy_plain4.png,44,12,candy,plain,4,Correlation,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I
2,DS13_movie_zebra1.png,29,13,movie,zebra,1,Correlation,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H
2,DS14_movie_zebra2.png,30,14,movie,zebra,2,Correlation,PluggedIn,I,76,"In the 'PluggedIn' column, count how many cells exceed the value of '76' ",8,I
2,DS15_movie_zebra3.png,31,15,movie,zebra,3,Correlation,Hulu,J,54,"In the 'Hulu' column, count how many cells exceed the value of '54' ",7,J
2,DS16_movie_zebra4.png,32,16,movie,zebra,4,Correlation,Metacritic,G,57,"In the 'Metacritic' column, count how many cells exceed the value of '57' ",6,G
3,DS1_anime_bar1.png,49,1,anime,bar,1,Sort,Completed,J,80,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J
3,DS2_anime_bar2.png,50,2,anime,bar,2,Sort,Members,I,70,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I
3,DS3_anime_bar3.png,51,3,anime,bar,3,Sort,Ranked,G,88,"In the 'Ranked' column, count how many cells exceed the value of '88' ",5,G
3,DS4_anime_bar4.png,52,4,anime,bar,4,Sort,Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K
3,DS5_cereal_color1.png,5,5,cereal,color,1,Sort,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I
3,DS6_cereal_color2.png,6,6,cereal,color,2,Sort,Carbo,H,70,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H
3,DS7_cereal_color3.png,7,7,cereal,color,3,Sort,Protein,J,45,"In the 'Protein' column, count how many cells exceed the value of '45' ",6,J
3,DS8_cereal_color4.png,8,8,cereal,color,4,Sort,Fat,K,60,"In the 'Fat' column, count how many cells exceed the value of '60' ",7,K
3,DS9_candy_plain1.png,41,9,candy,plain,1,Sort,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K
3,DS10_candy_plain2.png,42,10,candy,plain,2,Sort,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J
3,DS11_candy_plain3.png,43,11,candy,plain,3,Sort,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G
3,DS12_candy_plain4.png,44,12,candy,plain,4,Sort,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I
3,DS13_movie_zebra1.png,29,13,movie,zebra,1,Sort,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H
3,DS14_movie_zebra2.png,30,14,movie,zebra,2,Sort,PluggedIn,I,76,"In the 'PluggedIn' column, count how many cells exceed the value of '76' ",8,I
3,DS15_movie_zebra3.png,31,15,movie,zebra,3,Sort,Hulu,J,54,"In the 'Hulu' column, count how many cells exceed the value of '54' ",7,J
3,DS16_movie_zebra4.png,32,16,movie,zebra,4,Sort,Metacritic,G,57,"In the 'Metacritic' column, count how many cells exceed the value of '57' ",6,G
4,DS1_anime_bar1.png,49,1,anime,bar,1,Estimate Average,Completed,J,80,"In the 'Completed' column, count how many cells exceed the value of '80' ",7,J
4,DS2_anime_bar2.png,50,2,anime,bar,2,Estimate Average,Members,I,70,"In the 'Members' column, count how many cells exceed the value of '70' ",6,I
4,DS3_anime_bar3.png,51,3,anime,bar,3,Estimate Average,Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F
4,DS4_anime_bar4.png,52,4,anime,bar,4,Estimate Average,Score,E,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E
4,DS5_cereal_color1.png,5,5,cereal,color,1,Estimate Average,Fat,D,,"In the 'Fat' column, calculate a rough estimate of the average value",35.62068965517241,D
