task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row,2Header,2Column,2Par 1,2Prompt , 2Answer, 2Answer Column / Row
1.0,DS1_anime_color1.png,1.0,1.0,anime,color,1.0,Filter,Watching,J,80.0,"In the 'Watching' column, count how many cells exceed the value of '80' ",7.0,J,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
1.0,DS2_anime_color2.png,2.0,2.0,anime,color,2.0,Filter,Popularity,I,70.0,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6.0,I,Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
1.0,DS3_anime_color3.png,3.0,3.0,anime,color,3.0,Filter,Watching,G,88.0,"In the 'Watching' column, count how many cells exceed the value of '88' ",5.0,G,Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
1.0,DS4_anime_color4.png,4.0,4.0,anime,color,4.0,Filter,Members,K,43.0,"In the 'Members' column, count how many cells exceed the value of '43' ",8.0,K,Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
1.0,DS5_cereal_zebra1.png,21.0,5.0,cereal,zebra,1.0,Filter,Sodium,I,57.0,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8.0,I,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
1.0,DS6_cereal_zebra2.png,22.0,6.0,cereal,zebra,2.0,Filter,Score,H,70.0,"In the 'Score' column, count how many cells exceed the value of '70' ",5.0,H,Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
1.0,DS7_cereal_zebra3.png,23.0,7.0,cereal,zebra,3.0,Filter,Carbo,J,45.0,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6.0,J,Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
1.0,DS8_cereal_zebra4.png,24.0,8.0,cereal,zebra,4.0,Filter,Sodium,K,60.0,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7.0,K,Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
1.0,DS9_candy_plain1.png,41.0,9.0,candy,plain,1.0,Filter,Fruity,K,66.0,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5.0,K,Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
1.0,DS10_candy_plain2.png,42.0,10.0,candy,plain,2.0,Filter,Rating,J,38.0,"In the 'Rating' column, count how many cells exceed the value of '38' ",8.0,J,SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
