Task Id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,T-Header,T-Column,T-par1,T-Prompt ,T-answer,Answer-Col-or-Row,T3 A2,T3 col a2,T3 A3,T3 col a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS9_candy_zebra1.png,25,9,candy,zebra,1,Filter,"SugarPercent",K,66,"In the SugarPercent column, count how many entries exceed the value of 66",5,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS10_candy_zebra2.png,26,10,candy,zebra,2,Filter,Caramel,J,38,"In the Caramel column, count how many entries exceed the value of 38",8,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS11_candy_zebra3.png,27,11,candy,zebra,3,Filter,"SugarPercent",G,50,"In the SugarPercent column, count how many entries exceed the value of 50",7,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS12_candy_zebra4.png,28,12,candy,zebra,4,Filter,Caramel,I,57,"In the Caramel column, count how many entries exceed the value of 57",6,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS5_cereal_color1.png,5,5,cereal,color,1,Filter,Sodium,I,57,"In the Sodium column, count how many entries exceed the value of 57",8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS6_cereal_color2.png,6,6,cereal,color,2,Filter,Carbo,H,70,"In the Carbo column, count how many entries exceed the value of 70",5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS7_cereal_color3.png,7,7,cereal,color,3,Filter,Protein,J,45,"In the Protein column, count how many entries exceed the value of 45",6,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS8_cereal_color4.png,8,8,cereal,color,4,Filter,Fat,K,60,"In the Fat column, count how many entries exceed the value of 60",7,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS1_anime_bar1.png,49,1,anime,bar,1,Filter,Completed,J,80,"In the Completed column, count how many entries exceed the value of 80",7,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS2_anime_bar2.png,50,2,anime,bar,2,Filter,Members,I,70,"In the Members column, count how many entries exceed the value of 70",6,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS3_anime_bar3.png,51,3,anime,bar,3,Filter,Ranked,G,88,"In the Ranked column, count how many entries exceed the value of 88",5,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS4_anime_bar4.png,52,4,anime,bar,4,Filter,On-Hold,K,43,"In the On-Hold column, count how many entries exceed the value of 43",8,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS13_movie_plain1.png,45,13,movie,plain,1,Filter,Hulu,H,70,"In the Hulu column, count how many entries exceed the value of 70",5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS14_movie_plain2.png,46,14,movie,plain,2,Filter,MrQE,I,76,"In the MrQE column, count how many entries exceed the value of 76",8,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS15_movie_plain3.png,47,15,movie,plain,3,Filter,Netflix,J,54,"In the Netflix column, count how many entries exceed the value of 54",7,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS16_movie_plain4.png,48,16,movie,plain,4,Filter,Hulu,G,57,"In the Hulu column, count how many entries exceed the value of 57",6,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS9_candy_zebra1.png,25,9,candy,zebra,1,Correlation,Chocolate,C,,Determine which of the last 5 columns are positively correlated with the column named Chocolate,Rating,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS10_candy_zebra2.png,26,10,candy,zebra,2,Correlation,Rating,C,,Determine which of the last 5 columns are positively correlated with the column named Rating,Caramel,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS11_candy_zebra3.png,27,11,candy,zebra,3,Correlation,Pluribus,C,,Determine which of the last 5 columns are positively correlated with the column named Pluribus,Bar,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS12_candy_zebra4.png,28,12,candy,zebra,4,Correlation,Chocolate,C,,Determine which of the last 5 columns are positively correlated with the column named Chocolate,Caramel,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS5_cereal_color1.png,5,5,cereal,color,1,Correlation,Fat,C,,Determine which of the last 5 columns are positively correlated with the column named Fat,Iron,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS6_cereal_color2.png,6,6,cereal,color,2,Correlation,Protein,C,,Determine which of the last 5 columns are positively correlated with the column named Protein,Potassium,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DS7_cereal_color3.png,7,7,cereal,color,3,Correlation,Sugars,C,,Determine which of the last 5 columns are positively correlated with the column named Sugars,Protein,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
