Task id,Table png,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header, Column,Par 1, Prompt , Expected Answer, Answer Column / Row,
1,DS1_anime_color1.png,1,1,anime,color,1,Filter,Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J,
1,DS2_anime_color2.png,2,2,anime,color,2,Filter,Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I,
1,DS3_anime_color3.png,3,3,anime,color,3,Filter,Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G,
1,DS4_anime_color4.png,4,4,anime,color,4,Filter,Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K,
1,DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Filter,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I,
1,DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Filter,Score,H,70,"In the 'Score' column, count how many cells exceed the value of '70' ",5,H,
1,DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Filter,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J,
1,DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Filter,Sodium,K,60,"In the 'Sodium' column, count how many cells exceed the value of '60' ",7,K,
1,DS9_candy_plain1.png,41,9,candy,plain,1,Filter,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5,K,
1,DS10_candy_plain2.png,42,10,candy,plain,2,Filter,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38' ",8,J,
1,DS11_candy_plain3.png,43,11,candy,plain,3,Filter,Pluribus,G,50,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7,G,
1,DS12_candy_plain4.png,44,12,candy,plain,4,Filter,Nougat,I,57,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6,I,
1,DS13_movie_bar1.png,61,13,movie,bar,1,Filter,Fandango,H,70,"In the 'Fandango' column, count how many cells exceed the value of '70' ",5,H,
1,DS14_movie_bar2.png,62,14,movie,bar,2,Filter,Hulu,I,76,"In the 'Hulu' column, count how many cells exceed the value of '76' ",8,I,
1,DS15_movie_bar3.png,63,15,movie,bar,3,Filter,PluggedIn,J,54,"In the 'PluggedIn' column, count how many cells exceed the value of '54' ",7,J,
1,DS16_movie_bar4.png,64,16,movie,bar,4,Filter,Netflix,G,57,"In the 'Netflix' column, count how many cells exceed the value of '57' ",6,G,
2,task2\\T2_DS1_anime_color1.png,1,1,anime,color,1,Correlation,Episodes,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Episodes',Completed,I,
2,task2\\T2_DS2_anime_color2.png,2,2,anime,color,2,Correlation,Plan to Watch,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Plan to Watch' ,Favorites,L,
2,task2\\T2_DS3_anime_color3.png,3,3,anime,color,3,Correlation,Completed,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Completed',Episodes,K,
2,task2\\T2_DS4_anime_color4.png,4,4,anime,color,4,Correlation,Score,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Score',Dropped,J,
2,task2\\T2_DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Correlation,Potassium,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Potassium',Sugars,K,
2,task2\\T2_DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Correlation,Calories,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Calories',Protein,I,
2,task2\\T2_DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Correlation,Iron,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Iron',Carbo,J,
2,task2\\T2_DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Correlation,Vitamins,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Vitamins',Potassium,L,
2,task2\\T2_DS9_candy_plain1.png,41,9,candy,plain,1,Correlation,Hard,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Hard',Chocolate,L,
2,task2\\T2_DS10_candy_plain2.png,42,10,candy,plain,2,Correlation,Sugar Percent,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Sugar Percent' ,Rating,J,
2,task2\\T2_DS11_candy_plain3.png,43,11,candy,plain,3,Correlation,Rating,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Rating',Chocolate,K,
2,task2\\T2_DS12_candy_plain4.png,44,12,candy,plain,4,Correlation,Hard,C,0,Determine which of the last 5 columns is most positively correlated with the first colmn named 'Hard',Nougat,I,
